Year,State,Fires (Wildland),Acres (Wildland),Fires (Rx),Acres (Rx),Fires (WFU),Acres (WFU),Fires (Human),Acres (Human),Fires (Lightning),Acres (Lightning),Fires (Total),Acres (Total)
2007,Ohio,576,"1,578",10,"1,643",0,0,,,,,,
2007,Oklahoma,"3,527","70,324",31,"20,096",0,0,,,,,,
2007,Oregon,"2,561","648,046",867,"110,876",0,0,,,,,,
2007,Pennsylvania,523,"1,047",3,40,0,0,,,,,,
2007,Rhode Island,100,61,5,110,0,0,,,,,,
2007,South Carolina,"3,842","17,064",212,"101,015",0,0,,,,,,
2007,South Dakota,"1,505","78,013",139,"31,522",0,0,,,,,,
2007,Tennessee,"3,364","48,699",17,"14,146",0,0,,,,,,
2007,Texas,700,"36,304",193,"230,798",2,1,,,,,,
2007,Utah,"1,423","620,730",85,"36,840",19,"7,184",,,,,,
2007,Vermont,99,230,5,302,0,0,,,,,,
2007,Virginia,"1,569","15,019",35,"10,350",2,407,,,,,,
2007,Washington,"1,268","214,925","1,307","33,981",3,802,,,,,,
2007,West Virginia,846,"7,149",6,450,0,0,,,,,,
2007,Wisconsin,"1,458","4,713",545,"34,134",0,0,,,,,,
2007,Wyoming,593,78004,65,26313,24,3891,,,,,,
2008,Alabama,"3,103","32,447",93,"93,619",0,0,,,,,,
2008,Alaska,340,"62,648",10,"3,990",28,"40,999",,,,,,
2008,Arizona,"1,850","85,496",413,"132,951",18,"28,148",,,,,,
2008,Arkansas,917,"10,941",247,"188,672",1,52,,,,,,
2008,California,"4,108","1,375,781",827,"87,416",31,"29,503",,,,,,
2008,Colorado,"1,131","141,964",184,"43,048",11,"2,378",,,,,,
2008,Connecticut,330,893,6,68,0,0,,,,,,
2008,Delaware,20,36,6,92,0,0,,,,,,
2008,Florida,"2,939","156,102",432,"402,967",0,0,,,,,,
2008,Georgia,"5,454","23,081",152,"90,945",0,0,,,,,,
2008,Hawaii,0,0,0,0,0,0,,,,,,
2008,Idaho,997,"116,796",511,"57,365",38,"51,671",,,,,,
2008,Illinois,15,16,84,"6,231",1,2,,,,,,
2008,Indiana,572,"1,064",81,"13,703",0,0,,,,,,
2008,Iowa,177,"2,217",5,323,0,0,,,,,,
